id,id_sent,message,viewed,id_recieved,stories,event_datetime
1,169,I'm not fat,0,988,,2022-05-21 06:27:13
2,447,,,,Why did the coffee file a police report? It got mugged!,2022-06-19 00:33:11
3,865,I'm just on energy-saving mode.,1,627,,2022-10-13 22:45:36
4,848,,,,What did the grape say when it got stepped on? Nothing,2022-08-26 20:30:17
5,986,,,,Why did the chicken cross the playground? To get to the other slide!,2022-04-06 18:24:49
6,786,,,,it just let out a little wine!,2022-04-11 03:28:04
7,668,,,,Why did the chicken cross the playground? To get to the other slide!,2022-10-12 16:32:27
8,587,,,,Why did the chicken cross the playground? To get to the other slide!,2022-12-23 12:09:37
9,597,,,,What do you call an alligator in a vest? An investigator!,2022-09-09 23:18:58
10,546,I'm just limited edition.,1,887,,2022-05-06 10:44:45
11,701,,,,I told my wife she was drawing her eyebrows too high. She looked surprised.,2022-05-14 11:43:04
12,351,I'm not lazy,1,151,,2023-02-02 12:30:01
13,652,,,,What do you get when you cross a snowman and a shark? Frostbite!,2023-01-31 21:28:47
14,837,,,,I told my wife she was drawing her eyebrows too high. She looked surprised.,2022-02-20 03:38:31
15,428,I'm just taking the floor for a hug!,1,307,,2022-08-02 20:30:02
16,486,I'm not weird,0,714,,2022-02-23 06:52:19
17,43,I'm not lazy,0,675,,2023-01-30 13:16:52
18,458,Why do they put locks on the doors of 24-hour stores?,1,508,,2022-12-16 11:39:09
19,440,,,,Why don't skeletons fight each other? They don't have the guts!,2022-11-24 09:57:57
20,269,I'm not lazy,1,249,,2022-03-25 02:08:10
21,140,If money doesn't grow on trees,0,449,,2022-03-29 15:14:01
22,260,,,,Why don't scientists trust atoms? Because they make up everything!,2022-03-28 04:37:04
23,408,,,,Why did the coffee file a police report? It got mugged!,2022-07-14 23:27:40
24,515,I'm just conserving energy.,0,915,,2022-12-27 07:55:07
25,933,I'm just conserving energy.,1,308,,2022-10-04 00:49:46
26,22,,,,it just let out a little wine!,2022-06-22 22:13:25
27,273,,,,What do you call an alligator in a vest? An investigator!,2022-10-03 20:34:23
28,916,I'm not clumsy,0,761,,2022-12-05 17:41:38
29,887,I'm just conserving energy.,1,968,,2022-11-05 18:35:18
30,483,I'm not fat,1,483,,2023-01-23 01:38:05
31,732,I'm not arguing,1,48,,2022-10-16 12:26:26
32,938,,,,Why did the tomato turn red? Because it saw the salad dressing!,2022-11-16 04:48:19
33,786,then skydiving isn't for you.,0,247,,2022-11-19 06:41:17
34,896,I'm just using my outside voice.,1,888,,2022-04-30 10:56:44
35,573,,,,Why couldn't the bicycle stand up by itself? Because it was two-tired!,2023-02-09 16:49:36
36,477,,,,What do you call an alligator in a vest? An investigator!,2022-05-01 15:04:35
37,279,,,,Why did the coffee file a police report? It got mugged!,2022-06-06 02:25:50
38,942,If money doesn't grow on trees,0,70,,2022-09-06 22:27:50
39,220,I'm just on my own timezone.,0,776,,2022-11-24 19:55:43
40,249,,,,What did the grape say when it got stepped on? Nothing,2022-11-07 01:49:24
41,798,,,,What do you get when you cross a snowman and a shark? Frostbite!,2022-07-10 18:25:46
42,524,,,,Why couldn't the bicycle stand up by itself? Because it was two-tired!,2022-10-04 18:10:10
43,43,,,,Why couldn't the bicycle stand up by itself? Because it was two-tired!,2023-01-09 20:02:19
44,684,,,,Why don't skeletons fight each other? They don't have the guts!,2022-09-03 08:09:42
45,681,,,,What do you call an alligator in a vest? An investigator!,2022-10-07 18:56:47
46,394,then why do banks have branches?,1,214,,2022-10-15 11:56:45
47,510,,,,What do you get when you cross a snowman and a shark? Frostbite!,2022-11-09 10:30:15
48,350,,,,Why did the tomato turn red? Because it saw the salad dressing!,2022-06-21 20:50:36
49,975,,,,Why did the coffee file a police report? It got mugged!,2022-09-20 13:40:53
50,871,I'm just concentrated awesome!,0,499,,2022-11-17 17:02:35
51,190,then why do banks have branches?,1,28,,2022-10-23 19:24:08
52,525,Why do they call it rush hour when nothing moves?,1,58,,2022-04-08 12:12:07
53,826,,,,What do you get when you cross a snowman and a shark? Frostbite!,2022-10-17 03:34:30
54,299,,,,Why don't scientists trust atoms? Because they make up everything!,2022-11-19 01:10:45
55,165,,,,it just let out a little wine!,2022-09-15 22:26:15
56,797,,,,What do you get when you cross a snowman and a shark? Frostbite!,2023-01-18 20:56:37
57,771,I'm not arguing,0,621,,2022-07-18 16:43:02
58,262,,,,Why did the chicken cross the playground? To get to the other slide!,2022-10-23 10:06:12
59,192,I'm just on energy-saving mode.,0,419,,2022-12-25 09:59:03
60,408,I'm not weird,0,207,,2022-11-21 15:35:51
61,543,I'm just conserving energy.,1,346,,2022-08-12 17:15:48
62,543,I'm not late,1,818,,2022-04-06 06:51:44
63,999,,,,it just let out a little wine!,2023-01-01 03:11:05
64,627,,,,it just let out a little wine!,2022-07-28 20:10:31
65,834,I'm just easier to see!,0,906,,2022-04-18 07:23:26
66,471,I'm not lazy,0,830,,2022-10-23 12:09:37
67,837,I'm just concentrated awesome!,0,425,,2022-04-15 14:44:10
68,384,,,,Why don't skeletons fight each other? They don't have the guts!,2022-07-27 18:26:22
69,450,,,,Why couldn't the bicycle stand up by itself? Because it was two-tired!,2022-11-30 04:45:19
70,865,,,,What do you get when you cross a snowman and a shark? Frostbite!,2022-12-08 07:13:44
71,998,I'm just explaining why I'm right.,1,566,,2022-05-12 00:09:28
72,869,,,,I told my wife she was drawing her eyebrows too high. She looked surprised.,2023-02-16 07:39:31
73,422,I'm not arguing,1,752,,2022-08-30 14:52:27
74,531,I'm just explaining why I'm right.,0,19,,2022-04-11 22:31:55
75,499,then why do banks have branches?,1,99,,2023-02-02 05:54:04
76,140,,,,Why don't scientists trust atoms? Because they make up everything!,2022-03-19 08:11:53
77,237,I'm just conserving energy.,1,934,,2022-07-17 13:59:15
78,620,If money doesn't grow on trees,1,563,,2023-02-21 01:20:56
79,662,,,,I told my wife she was drawing her eyebrows too high. She looked surprised.,2022-04-18 21:19:22
80,947,,,,Why did the chicken cross the playground? To get to the other slide!,2022-08-01 20:18:20
81,370,,,,What do you call an alligator in a vest? An investigator!,2022-12-16 05:41:01
82,538,I'm just conserving energy.,1,930,,2022-09-09 01:31:17
83,944,,,,Why did the tomato turn red? Because it saw the salad dressing!,2022-04-28 03:38:05
84,748,I'm not lazy,1,189,,2022-08-08 06:14:19
85,272,,,,What do you call an alligator in a vest? An investigator!,2022-12-09 12:04:29
86,7,I'm not weird,0,495,,2022-08-03 03:01:28
87,820,,,,Why don't scientists trust atoms? Because they make up everything!,2023-01-27 16:30:13
88,519,I'm just conserving energy.,0,513,,2022-04-23 13:43:30
89,814,I'm just concentrated awesome!,1,244,,2022-05-05 16:49:54
90,387,I'm just limited edition.,0,974,,2022-08-14 21:44:15
91,821,,,,Why did the coffee file a police report? It got mugged!,2022-07-30 04:59:03
92,194,,,,Why did the chicken cross the playground? To get to the other slide!,2022-02-22 05:03:01
93,768,I'm just conserving energy.,0,788,,2022-05-12 14:40:06
94,458,,,,Why couldn't the bicycle stand up by itself? Because it was two-tired!,2022-08-23 14:56:17
95,342,,,,it just let out a little wine!,2023-01-13 19:10:39
96,363,I'm just explaining why I'm right.,0,709,,2022-11-08 18:49:54
97,951,,,,Why did the tomato turn red? Because it saw the salad dressing!,2023-01-08 08:47:33
98,327,,,,Why did the coffee file a police report? It got mugged!,2022-05-16 11:47:40
99,471,If money doesn't grow on trees,0,626,,2022-03-16 16:56:27
100,560,I'm not clumsy,0,407,,2022-12-18 14:29:06
101,310,,,,Why couldn't the bicycle stand up by itself? Because it was two-tired!,2022-08-31 13:43:51
102,342,,,,Why couldn't the bicycle stand up by itself? Because it was two-tired!,2022-09-13 06:49:09
103,582,,,,it just let out a little wine!,2022-12-16 05:27:51
104,591,,,,Why did the tomato turn red? Because it saw the salad dressing!,2022-06-19 18:55:53
105,446,Why do they call it rush hour when nothing moves?,0,947,,2022-07-25 05:38:31
106,580,Why do they call it rush hour when nothing moves?,0,649,,2022-09-25 21:45:45
107,207,I'm not fat,0,74,,2023-02-22 02:57:02
108,375,I'm not weird,1,166,,2022-08-30 23:53:33
109,263,Why do we park in a driveway and drive on a parkway?,0,496,,2022-08-10 20:27:33
110,9,If money doesn't grow on trees,0,1000,,2022-10-25 21:34:05
111,355,then why do banks have branches?,1,638,,2022-03-07 10:43:40
112,679,Why do we say heads up when we actually duck?,1,362,,2023-01-21 19:12:40
113,789,I'm just on energy-saving mode.,0,386,,2022-02-24 23:44:51
114,887,,,,Why don't skeletons fight each other? They don't have the guts!,2022-03-09 00:08:41
115,768,,,,Why don't scientists trust atoms? Because they make up everything!,2022-04-12 08:21:10
116,736,I'm just taking the floor for a hug!,0,629,,2022-04-01 18:15:01
117,840,,,,Why couldn't the bicycle stand up by itself? Because it was two-tired!,2022-05-23 18:37:35
118,319,I'm just on energy-saving mode.,1,480,,2022-08-17 15:46:33
119,907,I'm just limited edition.,0,615,,2023-02-06 01:05:19
120,525,I'm not lazy,1,172,,2022-08-25 23:27:08
121,406,I'm not lazy,0,633,,2022-07-12 16:06:47
122,779,,,,What did the grape say when it got stepped on? Nothing,2023-01-09 03:34:38
123,422,,,,Why couldn't the bicycle stand up by itself? Because it was two-tired!,2022-12-19 18:00:57
124,482,I'm just using my outside voice.,0,355,,2022-12-01 06:03:18
125,397,,,,What do you get when you cross a snowman and a shark? Frostbite!,2023-02-11 16:23:14
126,683,I'm just using my outside voice.,1,334,,2022-03-01 10:50:19
127,901,then why do banks have branches?,1,662,,2022-12-29 18:22:09
128,1000,,,,Why did the coffee file a police report? It got mugged!,2022-10-29 03:07:48
129,254,I'm just easier to see!,0,373,,2022-10-06 13:03:15
130,892,Why do they call it rush hour when nothing moves?,1,442,,2022-06-30 03:28:33
131,65,,,,Why did the tomato turn red? Because it saw the salad dressing!,2022-05-21 19:55:18
132,89,then skydiving isn't for you.,0,486,,2023-01-08 23:00:14
133,109,,,,it just let out a little wine!,2022-07-04 17:19:11
134,141,,,,What do you call an alligator in a vest? An investigator!,2022-11-06 15:06:29
135,500,,,,it just let out a little wine!,2022-06-22 01:44:34
136,10,,,,Why did the coffee file a police report? It got mugged!,2022-12-22 13:40:50
137,986,,,,What do you call an alligator in a vest? An investigator!,2022-04-16 11:28:19
138,781,,,,What do you call an alligator in a vest? An investigator!,2022-04-08 23:45:30
139,440,I'm not short,0,541,,2022-03-28 02:04:02
140,701,I'm not lazy,1,78,,2022-08-25 15:41:55
